date,dl_traffic_volume_gb,connected_users
8/1/2023,666.56,302.54
8/2/2023,620.04,275.38
8/3/2023,590.82,273.04
8/4/2023,604.28,279.01
8/5/2023,626.67,280.91
8/6/2023,618.68,282.38
8/7/2023,584.05,269.45
8/8/2023,599.27,269.96
8/9/2023,596.68,272.3
8/10/2023,588.36,273.06
8/11/2023,605.61,267.51
8/12/2023,645.52,282.59
8/14/2023,624.255,271.51
8/15/2023,649.725,273.2
8/16/2023,649.165,279.67
8/17/2023,648.24,274.115
8/18/2023,681.93,284.485
8/19/2023,667.115,286.025
8/20/2023,694.435,299.385
8/21/2023,487.04,198.12
8/22/2023,696.27,276.685
8/23/2023,699.67,290.52
8/24/2023,671.555,287.61
8/25/2023,696.6,283.12
8/26/2023,669.575,277.255
8/27/2023,718.915,293.11
8/28/2023,659.51,286.035
8/29/2023,631.59,284.86
8/30/2023,721.83,292.985
8/31/2023,677.14,279.69
9/1/2023,669.895,278.885
9/2/2023,715.36,286.35
9/3/2023,727.845,305.585
9/4/2023,642.09,276.695
9/5/2023,630.86,275.515
9/6/2023,696.63,289.165
9/7/2023,660.245,284.855
9/8/2023,647.305,281.44
9/9/2023,741.235,301.785
9/10/2023,685.44,294.76
9/11/2023,647.705,278.945
9/12/2023,701.005,293.145
9/13/2023,673.045,284.73
9/14/2023,685.25,286.955
9/15/2023,696.78,295.85
9/16/2023,698.325,296.525
9/17/2023,716.07,299.89
9/18/2023,675.235,284.93
9/19/2023,691,298.31
9/20/2023,645.98,293.4
9/21/2023,673.43,295.33
9/22/2023,676.9,299.84
9/23/2023,711.86,302.66
9/24/2023,729.755,313.035
9/25/2023,664.435,288.795
9/26/2023,682.58,298.89
9/27/2023,714.19,300.925
9/28/2023,729.095,310.665
9/29/2023,754.13,318.105
9/30/2023,721.54,307.225
10/1/2023,714.25,307.065
10/2/2023,685.64,301.055
10/3/2023,683.555,303.27
10/4/2023,723.095,310.895
10/5/2023,700.065,297.23
10/6/2023,676.265,299.66
10/7/2023,764.885,314.205
10/8/2023,725.16,294.825
10/9/2023,683.87,287.195
10/10/2023,698.99,294.145
10/11/2023,717.225,306.785
10/12/2023,708.565,304.675
10/13/2023,670.97,284.21
10/14/2023,706.465,291.76
10/15/2023,760.79,319.33
10/16/2023,705.365,298.215
10/17/2023,687.99,302.29
10/18/2023,677.705,305.85
10/19/2023,712.055,303.635
10/20/2023,705.115,299.04
10/21/2023,730.59,302.385
10/22/2023,742.755,320.635
10/23/2023,717.295,305.98
10/24/2023,712.93,311.875
10/25/2023,674.425,302.63
10/26/2023,707.74,304.62
10/27/2023,735.085,312.495
10/28/2023,747.31,322.475
10/29/2023,741.435,324.095
10/30/2023,731.075,310.04
10/31/2023,733.605,305.19
11/1/2023,671.015,292.6
11/2/2023,710.335,300.08
11/3/2023,662.35,284.04
11/4/2023,693.225,296.68
11/5/2023,706.195,305.825
11/6/2023,662.74,295.24
11/7/2023,686.575,303.01
11/8/2023,672.855,302.625
11/9/2023,707.935,302.31
11/10/2023,671.445,302.585
11/11/2023,736.945,316.08
11/12/2023,742.2,317.93
11/13/2023,668.135,289.85
11/14/2023,648.725,290.84
11/15/2023,714.64,296.45
11/16/2023,727.655,305.085
11/17/2023,578.455,284.81
11/18/2023,758.88,318.505
11/19/2023,761.945,319.69
11/20/2023,700.945,304.48
11/21/2023,663.29,304.535
11/22/2023,661.045,300.295
11/23/2023,655.105,299.64
11/24/2023,703.115,314.35
11/25/2023,696.31,318.595
11/26/2023,744.94,324.905
11/27/2023,690.28,306.385
11/28/2023,667.55,306.755
11/29/2023,671.265,296.795
11/30/2023,711.41,306.915
12/1/2023,764.29,328.785
12/2/2023,734.015,321.06
12/3/2023,761.44,333.53
12/4/2023,696.38,314.665
12/5/2023,674.61,304.945
12/6/2023,672.82,293.06
12/7/2023,656.16,289.62
12/8/2023,691.295,287.685
12/9/2023,646.385,276.14
12/10/2023,727.14,303.67
12/11/2023,669.55,290.93
12/12/2023,670.25,293.055
12/13/2023,686.305,298.795
12/14/2023,749.375,312.715
12/15/2023,723.89,303.74
12/16/2023,743.295,314.51
12/17/2023,739.665,314.635
12/18/2023,693.295,299.45
12/19/2023,735.48,311.715
12/20/2023,719.305,307.61
12/21/2023,714.545,305.885
12/22/2023,734.57,307.58
12/23/2023,738.175,315.855
12/24/2023,790.76,331.59
12/25/2023,812.94,359.87
12/26/2023,806.18,351.38
12/27/2023,772.3,334.18
12/28/2023,784.24,337.37
12/29/2023,752.025,321.915
12/30/2023,747.745,327.625
12/31/2023,749.01,327.18
1/1/2024,829.27,350.67
1/2/2024,741.64,314.99
1/3/2024,732.55,308.75
1/4/2024,730.27,315.28
1/5/2024,719.11,310.36
1/6/2024,743.26,322.54
1/7/2024,739.83,316.45
1/8/2024,729.36,314.12
1/9/2024,785.46,338.36
1/10/2024,779.61,336.43
1/11/2024,751.92,328.12
1/12/2024,748.11,327.34
1/13/2024,778.04,332.71
1/14/2024,780.41,333.56
1/15/2024,784.12,332.85
1/16/2024,720.15,322.85
1/17/2024,727.15,314.47
